cinema_id,title,source,movie_id,movie_code,genre,duration,age_rating,format,show_date,id,created_at
79426251-d44c-41d0-bb70-a4233902536f,SALMOKJI: WHISPERING WATER,21cineplex,,26SWWR,Horror,95 menit,D17+,2D,2026-05-17,fa859882-4926-47f4-b33c-d98b7d47eaf4,2026-05-17T14:27:06.467977
79426251-d44c-41d0-bb70-a4233902536f,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-17,759fd748-c15b-4669-8a6b-df2fee2982e0,2026-05-17T14:27:06.468193
79426251-d44c-41d0-bb70-a4233902536f,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,e9a91988-436f-44ee-a398-36b3550604a6,2026-05-17T14:27:06.468365
79426251-d44c-41d0-bb70-a4233902536f,CHILDREN OF HEAVEN,21cineplex,,16COHN,"Drama, Family",97 menit,SU,2D,2026-05-27,3325facf-35d1-475c-a689-95bb024ebbe8,2026-05-17T14:27:06.468565
d2013ccf-bd08-444f-8d9d-2915a982b7e9,IN THE GREY,21cineplex,,26ITGY,"Action, Thriller",97 menit,13+,2D,2026-05-17,2ead74fb-a255-4c5a-ac6b-49eeb688fc1f,2026-05-17T14:27:06.468935
d2013ccf-bd08-444f-8d9d-2915a982b7e9,SALMOKJI: WHISPERING WATER,21cineplex,,26SWWR,Horror,95 menit,D17+,2D,2026-05-17,a9e9083f-b041-4816-adac-2e2a37db690b,2026-05-17T14:27:06.469027
d2013ccf-bd08-444f-8d9d-2915a982b7e9,THE SHEEP DETECTIVES,21cineplex,,26SDES,"Comedy, Mystery",109 menit,SU,2D,2026-05-17,0d5cdb13-5b26-4a20-a941-c5422aac0d79,2026-05-17T14:27:06.469112
d2013ccf-bd08-444f-8d9d-2915a982b7e9,GOHAN,21cineplex,,26GOHN,Drama,140 menit,SU,2D,2026-05-17,b48ce8b9-a5a5-4302-b00a-461962314161,2026-05-17T14:27:06.469237
d2013ccf-bd08-444f-8d9d-2915a982b7e9,THE DRAMA,21cineplex,,26DRAA,Drama,106 menit,D17+,2D,2026-05-17,fa1e1ceb-30b6-4c5e-ac2e-5d627c39ba6f,2026-05-17T14:27:06.469346
d2013ccf-bd08-444f-8d9d-2915a982b7e9,MICHAEL,21cineplex,,26MICL,Biography,127 menit,SU,2D,2026-05-17,e7aa3f60-a9f3-4840-9a81-c1fe59143b4d,2026-05-17T14:27:06.469425
d2013ccf-bd08-444f-8d9d-2915a982b7e9,THE DEVIL WEARS PRADA 2,21cineplex,,26DWP2,"Comedy, Drama",119 menit,13+,2D,2026-05-17,1dc87470-ead4-42e8-8e99-cd7611f02832,2026-05-17T14:27:06.469555
d2013ccf-bd08-444f-8d9d-2915a982b7e9,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,c13653f5-1e81-428f-b641-fc0e20dcbe59,2026-05-17T14:27:06.469659
d2013ccf-bd08-444f-8d9d-2915a982b7e9,STAR WARS: THE MANDALORIAN AND GROGU,21cineplex,,26SWMG,"Fantasy, Sci-Fi",132 menit,13+,2D,2026-05-20,70ff1a13-52ea-4baf-9b95-70b2cdc9fa02,2026-05-17T14:27:06.469794
3b44560b-7a62-4108-b1bb-9070081b2f04,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,fcb5d4a8-f624-49d8-ab69-dddc91d0d7e1,2026-05-17T14:27:06.470616
3b44560b-7a62-4108-b1bb-9070081b2f04,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-17,420b33bc-2ba4-4931-b008-25e61b67395e,2026-05-17T14:27:06.470842
3b44560b-7a62-4108-b1bb-9070081b2f04,DILAN ITB 1997,21cineplex,,16DI97,"Drama, Romance",110 menit,13+,2D,2026-05-17,f709b732-786e-4944-8491-1b582be1a2ec,2026-05-17T14:27:06.471009
3b44560b-7a62-4108-b1bb-9070081b2f04,KELUARGA SUAMI ADALAH HAMA,21cineplex,,16KSAH,Drama,117 menit,13+,2D,2026-05-21,d4312c7c-6483-4f3e-958b-c0811b416809,2026-05-17T14:27:06.471172
3b44560b-7a62-4108-b1bb-9070081b2f04,CHILDREN OF HEAVEN,21cineplex,,16COHN,"Drama, Family",97 menit,SU,2D,2026-05-27,15a2b5ec-1263-4120-bdb3-bccbf6192972,2026-05-17T14:27:06.471299
3b44560b-7a62-4108-b1bb-9070081b2f04,SUAMIKU LUKAKU,21cineplex,,16SLUU,Drama,92 menit,D17+,2D,2026-05-27,86ae5f97-718e-4d5d-82dc-f0f39d903dcd,2026-05-17T14:27:06.471445
92975946-e715-4e4b-bdeb-59502815e182,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,fead691e-7224-4170-8606-ad4a06554ad6,2026-05-17T14:27:08.029035
92975946-e715-4e4b-bdeb-59502815e182,MORTAL KOMBAT II,21cineplex,,25MKT2,"Action, Adventure",116 menit,D17+,2D,2026-05-17,f354970e-6b90-4b35-b0c9-a3d32149dcc7,2026-05-17T14:27:08.029151
92975946-e715-4e4b-bdeb-59502815e182,GOHAN,21cineplex,,26GOHN,Drama,140 menit,SU,2D,2026-05-17,3f316df2-8fdc-4c57-bedb-08d28567587d,2026-05-17T14:27:08.029232
92975946-e715-4e4b-bdeb-59502815e182,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-17,8d5a3a93-9ffe-4f07-8091-b0d04b6a99af,2026-05-17T14:27:08.029288
92975946-e715-4e4b-bdeb-59502815e182,FUZE,21cineplex,,26FUZE,"Action, Crime",96 menit,D17+,2D,2026-05-17,39fd6efa-4422-44ab-a2c3-57d67bf9c05d,2026-05-17T14:27:08.029335
92975946-e715-4e4b-bdeb-59502815e182,THE SHEEP DETECTIVES,21cineplex,,26SDES,"Comedy, Mystery",109 menit,SU,2D,2026-05-17,d63026ea-1529-4eaf-b6cd-6356f5e9e2e7,2026-05-17T14:27:08.029407
92975946-e715-4e4b-bdeb-59502815e182,THE DEVIL WEARS PRADA 2,21cineplex,,26DWP2,"Comedy, Drama",119 menit,13+,2D,2026-05-17,9321403f-84bf-40f9-935d-7494732fd283,2026-05-17T14:27:08.029479
92975946-e715-4e4b-bdeb-59502815e182,IN THE GREY,21cineplex,,26ITGY,"Action, Thriller",97 menit,13+,2D,2026-05-17,b0d65a3a-e394-49f6-9878-96e3839881f3,2026-05-17T14:27:08.029530
92975946-e715-4e4b-bdeb-59502815e182,STAR WARS: THE MANDALORIAN AND GROGU,21cineplex,,26SWMG,"Fantasy, Sci-Fi",132 menit,13+,2D,2026-05-20,a71edaca-6efe-47b2-999b-7b508157fe0b,2026-05-17T14:27:08.029569
92975946-e715-4e4b-bdeb-59502815e182,SEKAWAN LIMO 2: GUNUNG KLAWIH,21cineplex,,16SK2G,"Comedy, Horror",122 menit,13+,2D,2026-05-27,6dd3bc77-0f75-4af6-8baa-8a6e1b9d6524,2026-05-17T14:27:08.029632
92975946-e715-4e4b-bdeb-59502815e182,SUAMIKU LUKAKU,21cineplex,,16SLUU,Drama,92 menit,D17+,2D,2026-05-27,4be1d7be-94ff-4995-bfbb-25ff3379983f,2026-05-17T14:27:08.029706
3fd30513-28a1-4b96-abad-036ef8893825,TUMBAL PROYEK,21cineplex,,16TPRK,Horror,106 menit,D17+,2D,2026-05-17,8c59f185-ee76-491a-908a-7f512f4f8fce,2026-05-17T14:27:09.826400
3fd30513-28a1-4b96-abad-036ef8893825,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,f7367037-bfd1-4948-98ce-51a3b247fa07,2026-05-17T14:27:09.826664
3fd30513-28a1-4b96-abad-036ef8893825,IN THE GREY,21cineplex,,26ITGY,"Action, Thriller",97 menit,13+,2D,2026-05-17,ff9f0f18-0fba-4889-a5e2-5f076b3bc511,2026-05-17T14:27:09.826936
3fd30513-28a1-4b96-abad-036ef8893825,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-17,bfa86ecd-d1e8-4123-9aba-80057edb63b4,2026-05-17T14:27:09.827079
3fd30513-28a1-4b96-abad-036ef8893825,GOHAN,21cineplex,,26GOHN,Drama,140 menit,SU,2D,2026-05-17,7df41d5c-7a61-4860-9be1-4d907a076084,2026-05-17T14:27:09.827285
3fd30513-28a1-4b96-abad-036ef8893825,THE SHEEP DETECTIVES,21cineplex,,26SDES,"Comedy, Mystery",109 menit,SU,2D,2026-05-17,9541f7de-311e-4370-9db3-9773b56fc22c,2026-05-17T14:27:09.827407
3fd30513-28a1-4b96-abad-036ef8893825,YANG LAIN BOLEH HILANG ASAL KAU JANGAN,21cineplex,,16YLBH,Drama,113 menit,13+,2D,2026-05-17,28346013-4514-4a87-a018-6cef9dd3bf2e,2026-05-17T14:27:09.827548
3fd30513-28a1-4b96-abad-036ef8893825,KELUARGA SUAMI ADALAH HAMA,21cineplex,,16KSAH,Drama,117 menit,13+,2D,2026-05-21,d834a77f-b6b1-44cb-a0c3-f4e582ed6beb,2026-05-17T14:27:09.827668
94e9118a-4ea5-43f1-8a5b-a0849f585a91,SALMOKJI: WHISPERING WATER,21cineplex,,26SWWR,Horror,95 menit,D17+,2D,2026-05-17,ca3269a5-5dfd-4eea-aacd-9860cb3c2edc,2026-05-17T14:27:11.048553
