cinema_id,title,source,movie_id,movie_code,genre,duration,age_rating,format,show_date,id,created_at
6b3f5516-b387-410e-9ed6-ccbade039a25,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-16,6acc34fd-76c4-414a-85ae-c59ced09cd6f,2026-05-16T13:57:15.390439
6b3f5516-b387-410e-9ed6-ccbade039a25,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-16,95c19c81-3064-45a4-9728-288a7c9e9ca8,2026-05-16T13:57:15.390658
6b3f5516-b387-410e-9ed6-ccbade039a25,SALMOKJI: WHISPERING WATER,21cineplex,,26SWWR,Horror,95 menit,D17+,2D,2026-05-16,8006679e-87d5-4279-963e-3ff28f336e7e,2026-05-16T13:57:15.390837
6b3f5516-b387-410e-9ed6-ccbade039a25,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,682fcf96-ed99-4c52-a294-ded4f700ee0b,2026-05-16T13:57:15.391032
6b3f5516-b387-410e-9ed6-ccbade039a25,CHILDREN OF HEAVEN,21cineplex,,16COHN,"Drama, Family",97 menit,SU,2D,2026-05-27,870bec42-5d80-4853-b486-bb127d42014c,2026-05-16T13:57:15.391204
e4771245-6da2-43af-a1fc-86505b9aae6f,MICHAEL,21cineplex,,26MICL,Biography,127 menit,SU,2D,2026-05-16,fa99938d-96c2-4025-821b-b7b99484eb69,2026-05-16T13:57:15.391669
e4771245-6da2-43af-a1fc-86505b9aae6f,THE SHEEP DETECTIVES,21cineplex,,26SDES,"Comedy, Mystery",109 menit,SU,2D,2026-05-16,89f208e4-2448-4b0f-bb0a-6063107d875e,2026-05-16T13:57:15.391799
e4771245-6da2-43af-a1fc-86505b9aae6f,SALMOKJI: WHISPERING WATER,21cineplex,,26SWWR,Horror,95 menit,D17+,2D,2026-05-16,60f555f0-8c3b-4c41-bb6c-cd2cb65aa82b,2026-05-16T13:57:15.391912
e4771245-6da2-43af-a1fc-86505b9aae6f,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-16,f38443c7-4275-471e-8ce9-f5b39036a477,2026-05-16T13:57:15.392015
e4771245-6da2-43af-a1fc-86505b9aae6f,GOHAN,21cineplex,,26GOHN,Drama,140 menit,SU,2D,2026-05-16,60b40d08-1b73-48cb-923e-9db71e7ff0cc,2026-05-16T13:57:15.392099
e4771245-6da2-43af-a1fc-86505b9aae6f,IN THE GREY,21cineplex,,26ITGY,"Action, Thriller",97 menit,13+,2D,2026-05-16,56e32480-5e6c-4c82-8505-75a9b5364dbb,2026-05-16T13:57:15.392203
e4771245-6da2-43af-a1fc-86505b9aae6f,THE DEVIL WEARS PRADA 2,21cineplex,,26DWP2,"Comedy, Drama",119 menit,13+,2D,2026-05-16,d6f92b5a-8e93-4de2-b079-f13e2b41c267,2026-05-16T13:57:15.392328
e4771245-6da2-43af-a1fc-86505b9aae6f,THE DRAMA,21cineplex,,26DRAA,Drama,106 menit,D17+,2D,2026-05-16,baa1fade-7d66-4c70-b1b2-06dde4925db1,2026-05-16T13:57:15.392407
e4771245-6da2-43af-a1fc-86505b9aae6f,STAR WARS: THE MANDALORIAN AND GROGU,21cineplex,,26SWMG,"Fantasy, Sci-Fi",132 menit,13+,2D,2026-05-20,ed30b24a-6ca4-4038-b8e0-4c12d8319e8f,2026-05-16T13:57:15.392515
7fa8445a-21b1-4ce3-b03d-be99f87c1ef4,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-16,22bb4928-45c5-4898-b18a-494a31b9b624,2026-05-16T13:57:15.393290
7fa8445a-21b1-4ce3-b03d-be99f87c1ef4,DILAN ITB 1997,21cineplex,,16DI97,"Drama, Romance",110 menit,13+,2D,2026-05-16,f6e50327-68da-4b17-9647-c59b7956aac3,2026-05-16T13:57:15.393464
7fa8445a-21b1-4ce3-b03d-be99f87c1ef4,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-16,2e937474-88c7-49c5-b765-ebd71cf6d132,2026-05-16T13:57:15.393605
7fa8445a-21b1-4ce3-b03d-be99f87c1ef4,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,52fb7ed5-7bd0-4d51-8799-30da7b91b143,2026-05-16T13:57:15.393757
7fa8445a-21b1-4ce3-b03d-be99f87c1ef4,KELUARGA SUAMI ADALAH HAMA,21cineplex,,16KSAH,Drama,117 menit,13+,2D,2026-05-21,df67a2ae-3f91-49de-b6dc-b4c98295b370,2026-05-16T13:57:15.393911
7fa8445a-21b1-4ce3-b03d-be99f87c1ef4,CHILDREN OF HEAVEN,21cineplex,,16COHN,"Drama, Family",97 menit,SU,2D,2026-05-27,2adc2b77-e67c-40a5-a47f-8ecda2a97fb0,2026-05-16T13:57:15.394017
7fa8445a-21b1-4ce3-b03d-be99f87c1ef4,SUAMIKU LUKAKU,21cineplex,,16SLUU,Drama,92 menit,D17+,2D,2026-05-27,43b46fb9-3f20-4f65-bd90-028c2454ffaf,2026-05-16T13:57:15.394136
a8590eed-3877-4b08-923d-7eb77207e88f,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-16,7413dc0d-dcd7-4827-a3fb-8001346e0f99,2026-05-16T13:57:17.000432
a8590eed-3877-4b08-923d-7eb77207e88f,THE DEVIL WEARS PRADA 2,21cineplex,,26DWP2,"Comedy, Drama",119 menit,13+,2D,2026-05-16,0a28ecd7-102d-4af9-b48f-7a703efdd5da,2026-05-16T13:57:17.000613
a8590eed-3877-4b08-923d-7eb77207e88f,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-16,62c82c1e-f356-4343-b379-fde1571672ca,2026-05-16T13:57:17.000742
a8590eed-3877-4b08-923d-7eb77207e88f,FUZE,21cineplex,,26FUZE,"Action, Crime",96 menit,D17+,2D,2026-05-16,f507e982-5fbe-4776-b530-d0b21c942d41,2026-05-16T13:57:17.001113
a8590eed-3877-4b08-923d-7eb77207e88f,THE SHEEP DETECTIVES,21cineplex,,26SDES,"Comedy, Mystery",109 menit,SU,2D,2026-05-16,008c6e70-42be-4f6f-a0f4-8a1f4e54cef1,2026-05-16T13:57:17.001169
a8590eed-3877-4b08-923d-7eb77207e88f,IN THE GREY,21cineplex,,26ITGY,"Action, Thriller",97 menit,13+,2D,2026-05-16,cc112990-f7e7-4db0-8454-77e8277dbc20,2026-05-16T13:57:17.001267
a8590eed-3877-4b08-923d-7eb77207e88f,GOHAN,21cineplex,,26GOHN,Drama,140 menit,SU,2D,2026-05-16,5780d2c9-212a-472f-a9dd-c2aa1477669d,2026-05-16T13:57:17.001349
a8590eed-3877-4b08-923d-7eb77207e88f,YANG LAIN BOLEH HILANG ASAL KAU JANGAN,21cineplex,,16YLBH,Drama,113 menit,13+,2D,2026-05-16,10b1c248-0374-4f82-9611-68b3680d4e2c,2026-05-16T13:57:17.001425
a8590eed-3877-4b08-923d-7eb77207e88f,MORTAL KOMBAT II,21cineplex,,25MKT2,"Action, Adventure",116 menit,D17+,2D,2026-05-16,2fffd6c9-7981-4719-827f-bb1e678203a3,2026-05-16T13:57:17.001482
a8590eed-3877-4b08-923d-7eb77207e88f,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,a0cb662b-6c5b-4bb2-81f5-25fa80e0ea89,2026-05-16T13:57:17.001594
a8590eed-3877-4b08-923d-7eb77207e88f,STAR WARS: THE MANDALORIAN AND GROGU,21cineplex,,26SWMG,"Fantasy, Sci-Fi",132 menit,13+,2D,2026-05-20,2e85f609-d043-4753-a1d6-05529f51d037,2026-05-16T13:57:17.001726
a8590eed-3877-4b08-923d-7eb77207e88f,SUAMIKU LUKAKU,21cineplex,,16SLUU,Drama,92 menit,D17+,2D,2026-05-27,b6a1851d-c2db-4825-aa16-dafba8b69c5a,2026-05-16T13:57:17.001814
a8590eed-3877-4b08-923d-7eb77207e88f,SEKAWAN LIMO 2: GUNUNG KLAWIH,21cineplex,,16SK2G,"Comedy, Horror",122 menit,13+,2D,2026-05-27,45739918-0367-479b-b3df-ea3a9912e4e4,2026-05-16T13:57:17.001931
47b06132-360e-478a-b0e6-b0de565efd84,YANG LAIN BOLEH HILANG ASAL KAU JANGAN,21cineplex,,16YLBH,Drama,113 menit,13+,2D,2026-05-16,d947aa27-867f-4be7-ade7-e2a5023f29b6,2026-05-16T13:57:18.887519
47b06132-360e-478a-b0e6-b0de565efd84,THE SHEEP DETECTIVES,21cineplex,,26SDES,"Comedy, Mystery",109 menit,SU,2D,2026-05-16,a009aa7b-5d8a-4683-bdd0-e43e9dc965a6,2026-05-16T13:57:18.887699
47b06132-360e-478a-b0e6-b0de565efd84,GOHAN,21cineplex,,26GOHN,Drama,140 menit,SU,2D,2026-05-16,d1a85622-e653-4e49-bb70-0c1ec152c90e,2026-05-16T13:57:18.887834
47b06132-360e-478a-b0e6-b0de565efd84,TUMBAL PROYEK,21cineplex,,16TPRK,Horror,106 menit,D17+,2D,2026-05-16,db5cb09e-c927-44c8-b5c8-9801ec72af34,2026-05-16T13:57:18.887942
47b06132-360e-478a-b0e6-b0de565efd84,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-16,b21553d3-83f4-4d01-8132-73cc961b14df,2026-05-16T13:57:18.888114
47b06132-360e-478a-b0e6-b0de565efd84,IN THE GREY,21cineplex,,26ITGY,"Action, Thriller",97 menit,13+,2D,2026-05-16,074ae058-ecc5-4ef6-baa5-612ade3d1a77,2026-05-16T13:57:18.888306
47b06132-360e-478a-b0e6-b0de565efd84,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-16,cb489520-68a8-40f5-b3e8-d1065218e564,2026-05-16T13:57:18.888397
47b06132-360e-478a-b0e6-b0de565efd84,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,255f2dbd-7276-4c3f-a1ea-75ff46f04580,2026-05-16T13:57:18.888666
47b06132-360e-478a-b0e6-b0de565efd84,KELUARGA SUAMI ADALAH HAMA,21cineplex,,16KSAH,Drama,117 menit,13+,2D,2026-05-21,524750d7-0940-4807-874d-9172a34f1ad0,2026-05-16T13:57:18.888900
f54b928a-3e81-4f74-a553-e5ae0e86484c,MICHAEL,21cineplex,,26MICL,Biography,127 menit,SU,2D,2026-05-16,e5ce02fa-35f5-45b7-8374-21beb5ad242b,2026-05-16T13:57:20.431086
f54b928a-3e81-4f74-a553-e5ae0e86484c,GOHAN,21cineplex,,26GOHN,Drama,140 menit,SU,2D,2026-05-16,4da7165b-0133-40fc-8d7c-913fc6940e06,2026-05-16T13:57:20.431247
f54b928a-3e81-4f74-a553-e5ae0e86484c,MORTAL KOMBAT II,21cineplex,,25MKT2,"Action, Adventure",116 menit,D17+,2D,2026-05-16,b5e09b5e-4367-45f0-979e-86af4c464d91,2026-05-16T13:57:20.431394
f54b928a-3e81-4f74-a553-e5ae0e86484c,FUZE,21cineplex,,26FUZE,"Action, Crime",96 menit,D17+,2D,2026-05-16,d38cc845-0cf5-4bbd-932f-548153385411,2026-05-16T13:57:20.431574
f54b928a-3e81-4f74-a553-e5ae0e86484c,SALMOKJI: WHISPERING WATER,21cineplex,,26SWWR,Horror,95 menit,D17+,2D,2026-05-16,24ab5b62-f75a-4e32-a64c-d46c8034abed,2026-05-16T13:57:20.431646
f54b928a-3e81-4f74-a553-e5ae0e86484c,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-16,e7ddb82f-9c4b-47f8-b112-4496a692cbfe,2026-05-16T13:57:20.431734
f54b928a-3e81-4f74-a553-e5ae0e86484c,THE SHEEP DETECTIVES,21cineplex,,26SDES,"Comedy, Mystery",109 menit,SU,2D,2026-05-16,20c41dfa-65f7-41af-bca0-74edb2608a24,2026-05-16T13:57:20.431894
f54b928a-3e81-4f74-a553-e5ae0e86484c,IN THE GREY,21cineplex,,26ITGY,"Action, Thriller",97 menit,13+,2D,2026-05-16,f5ccc0a4-02a9-405f-abe6-d6e23a624b8f,2026-05-16T13:57:20.431982
f54b928a-3e81-4f74-a553-e5ae0e86484c,GOHAN,21cineplex,,26GOHN,Drama,140 menit,SU,2D,2026-05-17,31fe3708-ab03-45ec-bcc5-02d4a088dc6f,2026-05-16T13:57:20.432135
f54b928a-3e81-4f74-a553-e5ae0e86484c,STAR WARS: THE MANDALORIAN AND GROGU,21cineplex,,26SWMG,"Fantasy, Sci-Fi",132 menit,13+,2D,2026-05-20,124fdd50-ce9f-4c4b-910c-7c9d82c64da8,2026-05-16T13:57:20.432277
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,TIBA TIBA SETAN,21cineplex,,16TTSN,"Comedy, Horror",113 menit,13+,2D,2026-05-16,1785e0d3-4038-4a89-8b82-684530b562a3,2026-05-16T13:57:22.968146
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,SALMOKJI: WHISPERING WATER,21cineplex,,26SWWR,Horror,95 menit,D17+,2D,2026-05-16,e6a0a6f5-f28c-425e-a6f9-ac866d5bb0d2,2026-05-16T13:57:22.968351
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-16,40b1a8dd-0ef4-4a28-a2bc-ab8eba57847a,2026-05-16T13:57:22.968542
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-16,3fb41147-2b42-4a0e-9091-0aca5128350c,2026-05-16T13:57:22.968848
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,YANG LAIN BOLEH HILANG ASAL KAU JANGAN,21cineplex,,16YLBH,Drama,113 menit,13+,2D,2026-05-16,f50e6ca3-2ca3-4590-8475-c66b6a9ed274,2026-05-16T13:57:22.969075
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,THE BELL: PANGGILAN UNTUK MATI,21cineplex,,16TBPU,Horror,91 menit,D17+,2D,2026-05-16,e27bf3c1-cc6a-4461-869a-46210c44fb3d,2026-05-16T13:57:22.969338
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,"AYAH, INI ARAHNYA KEMANA, YA?",21cineplex,,16AIAK,Drama,103 menit,13+,2D,2026-05-16,99c9b303-d5f8-4ac1-a694-0abd207ecada,2026-05-16T13:57:22.969692
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,TUMBAL PROYEK,21cineplex,,16TPRK,Horror,106 menit,D17+,2D,2026-05-16,fa5e0803-62e2-45ad-8663-643d398da10a,2026-05-16T13:57:22.969906
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,TUMBAL PROYEK,21cineplex,,16TPRK,Horror,106 menit,D17+,2D,2026-05-17,2328e5a5-b21d-4a6c-8ea6-999d149bb5dc,2026-05-16T13:57:22.970145
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,477691ae-7988-47d5-acc9-021211d221ab,2026-05-16T13:57:22.970410
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,GUDANG MERICA,21cineplex,,16GMEA,"Comedy, Horror",98 menit,D17+,2D,2026-05-21,cf7847a1-8538-4a7a-af5c-6f0645d80539,2026-05-16T13:57:22.970689
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,KAMU HARUS MATI,21cineplex,,16KHMI,"Horror, Mystery, Thriller",90 menit,13+,2D,2026-05-21,731fa4b7-99e4-48b3-8136-bf9444397037,2026-05-16T13:57:22.970940
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,CHILDREN OF HEAVEN,21cineplex,,16COHN,"Drama, Family",97 menit,SU,2D,2026-05-27,d60e1f7a-5902-4555-8fa6-4c8c71c2a3f3,2026-05-16T13:57:22.971195
3a0fb6ef-964a-4fb1-9e35-f135df19d15c,SUAMIKU LUKAKU,21cineplex,,16SLUU,Drama,92 menit,D17+,2D,2026-05-27,6badd9f2-d98e-404e-9492-772c1155fefa,2026-05-16T13:57:22.971395
54d43867-d19d-4f18-84eb-3d1b4129e76c,GUDANG MERICA,21cineplex,,16GMEA,"Comedy, Horror",98 menit,D17+,2D,2026-05-16,7cf326ef-8f92-492c-b1c9-0c06b87ac17b,2026-05-16T13:57:25.004711
54d43867-d19d-4f18-84eb-3d1b4129e76c,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-16,21831887-ee37-43d4-9ad4-36ab0bc9a130,2026-05-16T13:57:25.004870
54d43867-d19d-4f18-84eb-3d1b4129e76c,SALMOKJI: WHISPERING WATER,21cineplex,,26SWWR,Horror,95 menit,D17+,2D,2026-05-16,0c50de51-34f9-4b15-8991-96b6fef9d334,2026-05-16T13:57:25.005048
54d43867-d19d-4f18-84eb-3d1b4129e76c,AIN,21cineplex,,16AINX,Horror,110 menit,D17+,2D,2026-05-16,a5c27a53-cb28-4186-9d84-19cf6b5b872f,2026-05-16T13:57:25.005181
54d43867-d19d-4f18-84eb-3d1b4129e76c,GOHAN,21cineplex,,26GOHN,Drama,140 menit,SU,2D,2026-05-16,3fdeb3ed-d28f-446a-a1c1-b93454270465,2026-05-16T13:57:25.005267
54d43867-d19d-4f18-84eb-3d1b4129e76c,DILAN ITB 1997,21cineplex,,16DI97,"Drama, Romance",110 menit,13+,2D,2026-05-16,779ab162-72a0-427b-85c2-e52715d11cec,2026-05-16T13:57:25.005405
54d43867-d19d-4f18-84eb-3d1b4129e76c,IN THE GREY,21cineplex,,26ITGY,"Action, Thriller",97 menit,13+,2D,2026-05-16,6ab01fb4-864b-45e6-ab74-5dfb316565e2,2026-05-16T13:57:25.005574
54d43867-d19d-4f18-84eb-3d1b4129e76c,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-16,7ae288c4-2743-469d-9404-b7705ed443a6,2026-05-16T13:57:25.005649
54d43867-d19d-4f18-84eb-3d1b4129e76c,THE SHEEP DETECTIVES,21cineplex,,26SDES,"Comedy, Mystery",109 menit,SU,2D,2026-05-16,95e71f47-78d5-49eb-8838-e28ece9f0b2e,2026-05-16T13:57:25.005869
54d43867-d19d-4f18-84eb-3d1b4129e76c,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,89dcb167-20d3-4051-b01a-f48b6d5337c4,2026-05-16T13:57:25.006004
54d43867-d19d-4f18-84eb-3d1b4129e76c,BADUT GENDONG,21cineplex,,16BGEG,"Action, Horror",101 menit,D17+,2D,2026-05-20,62724a0b-a48c-41e5-9630-2fd27e3d6846,2026-05-16T13:57:25.006322
54d43867-d19d-4f18-84eb-3d1b4129e76c,STAR WARS: THE MANDALORIAN AND GROGU,21cineplex,,26SWMG,"Fantasy, Sci-Fi",132 menit,13+,2D,2026-05-20,2229adf9-76f7-4c65-b842-cf1bd0d9165f,2026-05-16T13:57:25.006433
54d43867-d19d-4f18-84eb-3d1b4129e76c,KELUARGA SUAMI ADALAH HAMA,21cineplex,,16KSAH,Drama,117 menit,13+,2D,2026-05-21,20740a65-9e72-41d6-b0da-87d584263af9,2026-05-16T13:57:25.006607
54d43867-d19d-4f18-84eb-3d1b4129e76c,MONSTER PABRIK RAMBUT,21cineplex,,16MPRT,"Fantasy, Horror",96 menit,D17+,2D,2026-05-23,caceca7e-ca4b-4182-b5e7-6aebf52a8403,2026-05-16T13:57:25.006799
54d43867-d19d-4f18-84eb-3d1b4129e76c,CHILDREN OF HEAVEN,21cineplex,,16COHN,"Drama, Family",97 menit,SU,2D,2026-05-27,24100af9-d024-43a8-8cc7-94e002ee92cd,2026-05-16T13:57:25.006954
54d43867-d19d-4f18-84eb-3d1b4129e76c,SEKAWAN LIMO 2: GUNUNG KLAWIH,21cineplex,,16SK2G,"Comedy, Horror",122 menit,13+,2D,2026-05-27,5d377985-641e-4efc-80bb-d2dc326deda2,2026-05-16T13:57:25.007122
68aac329-8a0c-4948-bdff-a4d357cfeee5,GOHAN,21cineplex,,26GOHN,Drama,140 menit,SU,2D,2026-05-16,388814b9-93d0-4bf1-b9fe-e3cf2130fd72,2026-05-16T13:57:26.166594
68aac329-8a0c-4948-bdff-a4d357cfeee5,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-16,439ff57c-a12c-4202-9c38-56fe0c136a96,2026-05-16T13:57:26.166782
68aac329-8a0c-4948-bdff-a4d357cfeee5,TUMBAL PROYEK,21cineplex,,16TPRK,Horror,106 menit,D17+,2D,2026-05-16,7ac83a0b-ab62-43d4-873d-be7db0afd602,2026-05-16T13:57:26.167083
68aac329-8a0c-4948-bdff-a4d357cfeee5,THE BELL: PANGGILAN UNTUK MATI,21cineplex,,16TBPU,Horror,91 menit,D17+,2D,2026-05-16,7064ffeb-9305-458f-8496-2ac4b3c0707b,2026-05-16T13:57:26.167257
68aac329-8a0c-4948-bdff-a4d357cfeee5,GHOST IN THE CELL,21cineplex,,16GITC,"Comedy, Horror",106 menit,D17+,2D,2026-05-16,5cb7aec3-cf91-4df3-8bb0-cf52807363aa,2026-05-16T13:57:26.167350
68aac329-8a0c-4948-bdff-a4d357cfeee5,SEMUA AKAN BAIK-BAIK SAJA,21cineplex,,16SABB,Drama,113 menit,13+,2D,2026-05-17,b48f6756-b875-4887-9d0d-801e5b044e26,2026-05-16T13:57:26.167469
